antecedent,consequent,support,confidence,lift
{5},{19},0.227,0.525,0.973
{19},{29},0.54,0.295,1.052
{29},{19},0.28,0.568,1.052
{19},{38},0.54,0.273,1.016
{38},{19},0.269,0.548,1.016
{20},{30},0.271,0.57,1.011
{30},{20},0.563,0.274,1.011
{34},{20},0.641,0.276,1.02
{20},{34},0.271,0.654,1.02
{20},{44},0.271,0.404,1.084
{44},{20},0.373,0.293,1.084
{48},{20},0.479,0.267,0.986
{20},{48},0.271,0.472,0.986
{49},{20},0.389,0.277,1.025
{20},{49},0.271,0.398,1.025
{16},{20},0.513,0.282,1.043
{20},{16},0.271,0.535,1.043
{26},{20},0.412,0.269,0.993
{20},{26},0.271,0.409,0.993
{20},{46},0.271,0.38,1.02
{46},{20},0.372,0.276,1.02
{32},{20},0.413,0.272,1.007
{20},{32},0.271,0.416,1.007
{28},{21},0.342,0.306,0.998
{21},{28},0.307,0.342,0.998
{21},{30},0.307,0.594,1.055
{30},{21},0.563,0.323,1.055
{34},{21},0.641,0.306,0.999
{21},{34},0.307,0.64,0.999
{44},{21},0.373,0.332,1.082
{21},{44},0.307,0.404,1.082
{48},{21},0.479,0.305,0.995
{21},{48},0.307,0.477,0.995
{49},{21},0.389,0.32,1.044
{21},{49},0.307,0.406,1.044
{16},{21},0.513,0.324,1.058
{21},{16},0.307,0.543,1.058
{26},{21},0.412,0.323,1.053
{21},{26},0.307,0.434,1.053
{12},{21},0.365,0.312,1.019
{21},{12},0.307,0.372,1.019
{42},{21},0.317,0.338,1.101
{21},{42},0.307,0.349,1.101
{21},{46},0.307,0.383,1.029
{46},{21},0.372,0.315,1.029
{32},{21},0.413,0.316,1.031
{21},{32},0.307,0.425,1.031
{21},{39},0.307,0.334,1.057
{39},{21},0.316,0.324,1.057
{24},{30},0.213,0.568,1.009
{30},{24},0.563,0.214,1.009
{24},{34},0.213,0.666,1.039
{34},{24},0.641,0.221,1.039
{24},{16},0.213,0.564,1.098
{16},{24},0.513,0.233,1.098
{28},{30},0.342,0.573,1.018
{30},{28},0.563,0.348,1.018
{34},{28},0.641,0.359,1.048
{28},{34},0.342,0.672,1.048
{28},{44},0.342,0.375,1.006
{44},{28},0.373,0.344,1.006
{48},{28},0.479,0.357,1.042
{28},{48},0.342,0.499,1.042
{49},{28},0.389,0.355,1.036
{28},{49},0.342,0.403,1.036
{28},{15},0.342,0.321,1.05
{15},{28},0.305,0.36,1.05
{16},{28},0.513,0.365,1.067
{28},{16},0.342,0.548,1.067
{26},{28},0.412,0.356,1.04
{28},{26},0.342,0.429,1.04
{2},{28},0.273,0.382,1.116
{28},{2},0.342,0.304,1.116
{28},{12},0.342,0.405,1.11
{12},{28},0.365,0.38,1.11
{42},{28},0.317,0.365,1.066
{28},{42},0.342,0.338,1.066
{28},{46},0.342,0.373,1.002
{46},{28},0.372,0.343,1.002
{32},{28},0.413,0.359,1.048
